metric,value
Bus:avg_utilization,0.789314
Bus:direction_rev_count,0
Bus:efficiency,0.333111
Bus:transferred_bytes,96064
Bus:transferred_payloads,32000
Host-0:2:avg_evict_wait_ns,0
Host-0:2:avg_latency_ns,1031.78
Host-0:2:bw_gbps,1.98204
Host-0:avg_evict_wait_ns,0
Host-0:avg_latency_ns,1031.78
Host-0:bw_gbps,1.98204
Host-0:cache_evict_count,0
Host-0:cache_hit_count,0
Host-0:random_seed,42
Host-0:req_count,500
id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
255,Non-temporal read,2,305fa040,7281,8369,847,48,0,0,0,0,0,113,1088
257,Non-temporal read,2,1b6b4440,7345,8401,856,48,0,0,0,0,0,72,1056
258,Non-temporal read,2,1206cc80,7377,8433,857,48,0,0,0,0,0,71,1056
259,Non-temporal read,2,8671f40,7409,8465,857,48,0,0,0,0,0,71,1056
260,Non-temporal read,2,87d19c0,7441,8497,857,48,0,0,0,0,0,71,1056
261,Non-temporal read,2,14a73500,7473,8529,857,48,0,0,0,0,0,71,1056
262,Non-temporal read,2,b95ea40,7505,8561,879,48,0,0,0,0,0,49,1056
263,Non-temporal read,2,2f55cb40,7537,8593,879,48,0,0,0,0,0,49,1056
264,Non-temporal read,2,b49dec0,7569,8625,837,48,0,0,0,0,0,91,1056
265,Non-temporal read,2,318dba40,7601,8657,857,48,0,0,0,0,0,71,1056
266,Non-temporal read,2,11a74840,7633,8689,856,48,0,0,0,0,0,72,1056
267,Non-temporal read,2,1272b440,7665,8721,857,48,0,0,0,0,0,71,1056
268,Non-temporal read,2,17bb2c00,7697,8753,857,48,0,0,0,0,0,71,1056
269,Non-temporal read,2,35be9440,7729,8785,857,48,0,0,0,0,0,71,1056
270,Non-temporal read,2,25213800,7761,8817,857,48,0,0,0,0,0,71,1056
271,Non-temporal read,2,24f1f800,7793,8849,857,48,0,0,0,0,0,71,1056
272,Non-temporal read,2,2a32d880,7825,8881,857,48,0,0,0,0,0,71,1056
273,Non-temporal read,2,6641b00,7857,8913,857,48,0,0,0,0,0,71,1056
274,Non-temporal read,2,2d85c280,7889,8945,857,48,0,0,0,0,0,71,1056
275,Non-temporal read,2,1df8b700,7921,8977,879,48,0,0,0,0,0,49,1056
276,Non-temporal read,2,ec74900,7953,9009,857,48,0,0,0,0,0,71,1056
277,Non-temporal read,2,3b9ab200,7985,9041,857,48,0,0,0,0,0,71,1056
278,Non-temporal read,2,34e4c440,8017,9073,857,48,0,0,0,0,0,71,1056
279,Non-temporal read,2,27c1be80,8049,9105,857,48,0,0,0,0,0,71,1056
280,Non-temporal read,2,14027400,8081,9137,857,48,0,0,0,0,0,71,1056
281,Non-temporal read,2,1f8b6300,8113,9169,857,48,0,0,0,0,0,71,1056
282,Non-temporal read,2,3e02c480,8145,9201,857,48,0,0,0,0,0,71,1056
283,Non-temporal read,2,25772900,8177,9233,857,48,0,0,0,0,0,71,1056
284,Non-temporal read,2,27327200,8209,9265,857,48,0,0,0,0,0,71,1056
285,Non-temporal read,2,3e045140,8241,9297,857,48,0,0,0,0,0,71,1056
286,Non-temporal read,2,2a5d3e40,8273,9329,857,48,0,0,0,0,0,71,1056
287,Non-temporal read,2,2559ffc0,8305,9361,857,48,0,0,0,0,0,71,1056
288,Non-temporal read,2,49c33c0,8337,9393,857,48,0,0,0,0,0,71,1056
289,Non-temporal read,2,255b880,8369,9425,857,48,0,0,0,0,0,71,1056
290,Non-temporal read,2,25eaee00,8401,9457,857,48,0,0,0,0,0,71,1056
291,Non-temporal read,2,19172f80,8433,9489,857,48,0,0,0,0,0,71,1056
292,Non-temporal read,2,22648080,8465,9521,879,48,0,0,0,0,0,49,1056
